"year","region_name","county_name","crime_type","crime_count","population","crime_rate"
2000,"Southern California","San Bernardino","Violent crime total",119,18130,656.370656370656
2000,"Southern California","Los Angeles","Violent crime total",36,20537,175.293372936651
2000,"Bay Area","Alameda","Violent crime total",302,72259,417.941017727895
2000,"Bay Area","Alameda","Violent crime total",88,16444,535.149598637801
2000,"Southern California","Los Angeles","Violent crime total",253,85804,294.858048575824
2000,"Northeast Sierra","Modoc","Violent crime total",6,2892,207.46887966805
2000,"Bay Area","Napa","Violent crime total",12,9774,122.774708410068
2000,"Southern California","Orange","Violent crime total",1413,328014,430.774296219064
2000,"Shasta","Shasta","Violent crime total",132,9022,1463.09022389714
2000,"Central/Southeast Sierra","Calaveras","Violent crime total",33,3004,1098.53528628495
2000,"Bay Area","Contra Costa","Violent crime total",526,90532,581.010029602792
2000,"Southern California","San Bernardino","Violent crime total",186,54239,342.926676376777
2000,"Southern California","Los Angeles","Violent crime total",139,53054,261.997210389415
2000,"North Coast","Humboldt","Violent crime total",28,16651,168.158068584469
2000,"San Luis Obispo","San Luis Obispo","Violent crime total",17,15851,107.248754021828
2000,"Southern California","Los Angeles","Violent crime total",115,16380,702.075702075702
2000,"San Joaquin Valley","Kern","Violent crime total",75,12956,578.882371102192
2000,"San Luis Obispo","San Luis Obispo","Violent crime total",134,26411,507.364355760857
2000,"Bay Area","San Mateo","Violent crime total",19,7194,264.10897970531
2000,"San Joaquin Valley","Merced","Violent crime total",159,23113,687.924544628564
2000,"Sacramento Area","Placer","Violent crime total",40,12462,320.975766329642
2000,"Southern California","Los Angeles","Violent crime total",30,3127,959.385992964503
2000,"San Joaquin Valley","Kings","Violent crime total",31,14674,211.258007359956
2000,"Southern California","Los Angeles","Violent crime total",145,44712,324.29772767937
2000,"San Joaquin Valley","Kern","Violent crime total",716,247057,289.811662895607
2000,"Southern California","Los Angeles","Violent crime total",302,75837,398.222503527302
2000,"Southern California","Riverside","Violent crime total",258,23562,1094.98344792462
2000,"Southern California","San Bernardino","Violent crime total",171,21119,809.697428855533
2000,"Southern California","Riverside","Violent crime total",170,11384,1493.32396345748
