"year","total_crimes","total_population","avg_crime_rate"
2000,177434,27236957,669.452612678349
2001,181510,27764031,675.214975848078
2002,177076,28357569,637.69022598867
2003,173584,28682051,613.155240925372
2004,166633,28989497,597.386810120844
2005,158886,29177188,568.628578659992
2006,162736,29629615,586.721132063632
2007,160369,29952208,571.519259318729
2008,154427,30109221,578.324470765745
2009,144882,30456312,536.664364815934
2010,135669,30573822,495.919264026969
2011,128106,30851792,463.899592003122
2012,132624,31163311,483.363219509203
2013,124249,31413920,438.674661421866
